Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)
1	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit ccq1topiciv=iprept2fem73=xznvlx-pretest, Section s1-ccq1topiciv=iprept2fem73=xznvlx-pretest"	me-mc-4090-z	1	TestQuestionTool:the-goalnode	8/26/2015 12:17	8/26/2015 12:19		8/26/2015 12:19	161	.	161	incorrect	1	0	0	.	Answer Test Question~~Answer variant of problem me-mc-4090~~Answer text multiple-choice question	1~~1~~1	
2	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit ccq1topiciv=iprept2fem73=xznvlx-pretest, Section s1-ccq1topiciv=iprept2fem73=xznvlx-pretest"	me-fb-4087-x	1	TestQuestionTool:the-goalnode	8/26/2015 12:19	8/26/2015 12:21		8/26/2015 12:21	68	.	68	incorrect	1	0	0	.	Answer Test Question~~Answer variant of problem me-fb-4087~~Answer EXPRESSION_MATCH_TYPE fill-in question	2~~1~~1	
3	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit ccq1topiciv=iprept2fem73=xznvlx-pretest, Section s1-ccq1topiciv=iprept2fem73=xznvlx-pretest"	me-mc-4089-x	1	TestQuestionTool:the-goalnode	8/26/2015 12:21	8/26/2015 12:21		8/26/2015 12:21	55	.	55	incorrect	1	0	0	.	Answer Test Question~~Answer variant of problem me-mc-4089~~Answer text multiple-choice question	3~~1~~2	
4	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit ccq1topiciv=iprept2fem73=xznvlx-pretest, Section s1-ccq1topiciv=iprept2fem73=xznvlx-pretest"	me-mc-4476-w	1	TestQuestionTool:the-goalnode	8/26/2015 12:22	8/26/2015 12:24		8/26/2015 12:24	120	.	120	incorrect	1	0	0	.	Answer Test Question~~Answer variant of problem me-mc-4476~~Answer text multiple-choice question	4~~1~~3	
5	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit ccq1topiciv=iprept2fem73=xznvlx-pretest, Section s1-ccq1topiciv=iprept2fem73=xznvlx-pretest"	me-mc-4478-w	1	TestQuestionTool:the-goalnode	8/26/2015 12:24	8/26/2015 12:24		8/26/2015 12:24	44	.	44	incorrect	1	0	0	.	Answer Test Question~~Answer variant of problem me-mc-4478~~Answer text multiple-choice question	5~~1~~4	
6	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit ccq1topiciv=iprept2fem73=xznvlx-pretest, Section s1-ccq1topiciv=iprept2fem73=xznvlx-pretest"	me-mc-4480-y	1	TestQuestionTool:the-goalnode	8/26/2015 12:24	8/26/2015 12:25		8/26/2015 12:25	16	.	16	incorrect	1	0	0	.	Answer Test Question~~Answer variant of problem me-mc-4480~~Answer text multiple-choice question	6~~1~~5	
7	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-003	1	Roots:NumberLine	8/26/2015 12:25	8/26/2015 12:25	8/26/2015 12:25	8/26/2015 12:25	37	.	37	incorrect	1	0	1	.	Construct square from area	1	
8	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-003	1	Roots:PositiveFactor1	8/26/2015 12:25	8/26/2015 12:25	8/26/2015 12:25	8/26/2015 12:25	5	5	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	1	
9	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-003	1	Roots:PositiveFactor2	8/26/2015 12:25	8/26/2015 12:25	8/26/2015 12:25	8/26/2015 12:25	2	2	.	correct	0	0	1	.	WRITE GIVEN SQUARE AS POSITIVE PRODUCT	2	
10	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-003	1	Roots:PositiveResult	8/26/2015 12:25	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	7	.	7	incorrect	1	0	1	.	Write given square as whole number	1	
11	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-003	1	Roots:PositiveRoot	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	12	.	12	incorrect	2	0	1	.	Determine positive square root	1	
12	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-016	1	Roots:NumberLine	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	7	.	7	incorrect	1	0	1	.	Construct square from side length	1	
13	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-016	1	Roots:PositiveFactor1	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	2	2	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	1	
14	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-016	1	Roots:PositiveFactor2	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	2	
15	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-016	1	Roots:PositiveResult	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:26	16	.	16	incorrect	3	2	1	.	Write given whole number as square	1	
16	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-016	1	Roots:PositiveRoot	8/26/2015 12:26	8/26/2015 12:26	8/26/2015 12:27	8/26/2015 12:27	12	.	12	incorrect	1	0	1	.	Determine positive square root	2	
17	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-028	1	Roots:NumberLine	8/26/2015 12:27	8/26/2015 12:27	8/26/2015 12:27	8/26/2015 12:27	7	7	.	correct	0	0	1	.	Construct square from side length	2	
18	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-028	1	Roots:PositiveFactor1	8/26/2015 12:27	8/26/2015 12:27	8/26/2015 12:27	8/26/2015 12:27	4	4	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	3	
19	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-028	1	Roots:PositiveFactor2	8/26/2015 12:27	8/26/2015 12:27	8/26/2015 12:27	8/26/2015 12:27	2	2	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	4	
20	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-028	1	Roots:PositiveResult	8/26/2015 12:27	8/26/2015 12:27	8/26/2015 12:30	8/26/2015 12:30	179	.	179	incorrect	4	2	1	.	Write given whole number as square	2	
21	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-028	1	Roots:PositiveRoot	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	4	4	.	correct	0	0	1	.	Determine positive square root	3	
22	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-004	1	Roots:NumberLine	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	6	6	.	correct	0	0	1	.	Construct square from side length	3	
23	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-004	1	Roots:PositiveFactor1	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	5	
24	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-004	1	Roots:PositiveFactor2	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:30	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	6	
25	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-004	1	Roots:PositiveResult	8/26/2015 12:30	8/26/2015 12:30	8/26/2015 12:31	8/26/2015 12:31	19	.	19	incorrect	1	2	1	.	Write given whole number as square	3	
26	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-004	1	Roots:PositiveRoot	8/26/2015 12:31	8/26/2015 12:31	8/26/2015 12:31	8/26/2015 12:31	12	12	.	correct	0	0	1	.	Determine positive square root	4	
27	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-024	1	Roots:NumberLine	8/26/2015 12:31	8/26/2015 12:35	8/26/2015 12:35	8/26/2015 12:35	260	260	.	correct	0	0	1	.	Construct square from side length	4	
28	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-024	1	Roots:PositiveFactor1	8/26/2015 12:35	8/26/2015 12:35	8/26/2015 12:35	8/26/2015 12:35	4	4	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	7	
29	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-024	1	Roots:PositiveFactor2	8/26/2015 12:35	8/26/2015 12:35	8/26/2015 12:35	8/26/2015 12:35	1	1	.	correct	0	0	1	.	WRITE GIVEN WHOLE NUMBER AS POSITIVE PRODUCT	8	
30	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-024	1	Roots:PositiveResult	8/26/2015 12:35	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	15	15	.	correct	0	0	1	.	Write given whole number as square	4	
31	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-024	1	Roots:PositiveRoot	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	4	4	.	correct	0	0	1	.	Determine positive square root	5	
32	All Data	Stu_03b67ac80c457f9973d9448637207189	"Curriculum ccq1topiciv=iprept2fem73=xznvlx, Unit rootsmsm6, Section rootsmsm6-1"	scroots1-009	1	Roots:NumberLine	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	8/26/2015 12:36	23	23	.	correct	0	0	1	.	Construct square from area	2	
